VENDOR_ID,STATUS,TRACKING_SOURCE,TRACKING_ID,DATE_OF_BIRTH,EMAIL_ADDRESS,CITIZENSHIP_CONFIRMED,SALUTATION,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME_SUFFIX,HOME_ADDRESS,HOME_UNIT,HOME_CITY,HOME_COUNTY,HOME_STATE,HOME_ZIP_CODE,MAILING_ADDRESS,MAILING_UNIT,MAILING_CITY,MAILING_COUNTY,MAILING_STATE,MAILING_ZIP_CODE,PARTY,RACE,PHONE,PHONE_TYPE,OPT_IN_TO_VENDOR_EMAIL,OPT_IN_TO_VENDOR_SMS,OPT_IN_TO_PARTNER_EMAIL,OPT_IN_TO_PARTNER_SMSROBOCALL,VOLUNTEER_FOR_VENDOR,VOLUNTEER_FOR_PARTNER,PRE_REGISTERED,REGISTRATION_DATE,FINISH_WITH_STATE,BUILT_VIA_API,SUBMITTED_VIA_STATE_API,REGISTRATION_SOURCE,SHIFT_ID,SHIFT_TYPE,OFFICE,VENDOR_A_SHIFT_ID,SALUTATION_STANDARDIZED,HAS_MAILING_ADDRESS_STANDARDIZED,HAS_STATE_LICENSE_STANDARDIZED,HAS_SSN_STANDARDIZED,PREDICTED_GENDER,ORG,EVC_ID,PROGRAM_STATE,PARTNER_ID,FIELD_START,FIELD_END
d95bafc8-f2a4-427b-9cf4-bb99f4bea973,Step 1,ffxkVZQtq,MnMcLRkBO,1960-05-29,amy78yahoo.com,true,Dr.,Steven,Lucas,James,IV,233 Gregory Extensions,2,Yolandaside,county_3,NV,54852,557 Stephanie Locks Suite 837,4,Masonstad,county_8,NH,46477,independent,unknown,+1-773-529-4744,other,false,false,false,false,false,false,false,2022-04-12 00:00:00,true,false,true,Web,8386,6006,office_2,5594,Mr.,true,false,true,female,org_5,PdrLoRgWH,DC,4355,2022-02-09 00:00:00,2022-02-09 02:00:00
e16dce72-f18e-4598-b5e1-f291d322a735,Step 1,BTWcdxxlp,RbfhebcUb,1957-08-17,david22hotmail.com,true,Dr.,Bradley,Veronica,Hernandez,II,9145 Johnson Mission,8,West Katelynberg,county_8,IN,12750,07289 Tucker Islands Apt. 544,9,Valdezside,county_3,SD,07943,republican,nativeAmerican,(221)738-0337,mobile,true,true,false,true,false,false,false,2022-03-25 00:00:00,true,false,false,Web,8621,79,office_3,581,Mx.,false,true,true,other,org_1,pggblWogn,AK,8531,2022-07-24 00:00:00,2022-07-24 02:00:00
8918b682-4f4a-453e-b430-051376e31f5a,Step 4,nRWnUZBBG,bLLdAHLlg,1997-02-14,hdiaz5gmail.com,false,Dr.,Kyle,Nancy,Gutierrez,IV,07067 Clark Radial Apt. 040,5,Savannahland,county_4,VI,64784,95672 Foster Crossing,4,North Christophermouth,county_7,IL,91288,democrat,nativeAmerican,+1-707-457-2547x876,landline,false,true,false,true,true,false,false,2022-02-14 00:00:00,false,false,false,API,1381,9599,office_2,1165,Dr.,true,false,true,male,org_1,ZfRZPcisy,IN,5397,2022-04-25 00:00:00,2022-04-25 02:00:00
1cb0a312-4978-4137-8624-857a2c2af60d,Step 2,IWBgvHpTG,qkkDTpzwY,1984-11-22,stevenhiggins3hotmail.com,false,Misc.,Brian,Joshua,King,Jr.,8513 Richard Shores Suite 057,8,Santosville,county_1,MO,28881,16834 Tracy Ridge Apt. 096,7,Williamburgh,county_8,UT,27370,democrat,asian,7819757487,mobile,true,false,false,true,true,false,false,2022-11-05 00:00:00,false,true,false,API,2209,886,office_3,8183,Mx.,false,false,true,female,org_1,sJDaxcIyK,NV,3349,2022-10-10 00:00:00,2022-10-10 02:00:00
a62923cd-7f8f-4441-8ef5-4c3dad29b40a,Step 2,ESITtequt,vPYtPPzHf,1976-01-19,petermorenogmail.com,true,Mr.,Jesse,Stephen,Hall,DVM,16535 Jones Mount,5,South Scott,county_5,NH,18046,345 Cory Freeway Suite 352,5,Port Derek,county_5,WI,72669,independent,black,(549)895-6489x1546,landline,true,true,true,false,false,true,true,2022-03-08 00:00:00,true,true,true,Tablet,5747,2737,office_6,1262,Mx.,true,false,true,female,org_5,yIsEOjxum,NM,1557,2021-12-31 00:00:00,2021-12-31 02:00:00
40403a2b-54d2-448c-b44f-fe83c8ac5639,Step 2,AxqfvmpTp,UNcvxPXNd,1926-06-15,melissajordanyahoo.com,true,Misc.,Barbara,Darren,Wong,DDS,06779 Stephens Road Apt. 988,7,Randallmouth,county_3,MT,51094,17921 Chris Inlet Suite 041,5,East Angel,county_7,SD,12549,republican,other,+1-707-317-2802x8800,mobile,false,true,false,true,false,false,true,2021-12-30 00:00:00,true,false,true,Tablet,8849,1909,office_4,1773,Ind.,true,true,false,female,org_4,vNPzTHGXR,GA,8371,2021-12-16 00:00:00,2021-12-16 02:00:00
a08bb559-26c1-4bd7-915b-ebc7d5541b40,Step 2,lymtvBjBi,zuZtZgJgE,1943-12-02,alison743gmail.com,false,Misc.,Dominique,Anthony,Arnold,DDS,69020 Park Mountains,8,Lake Kelseybury,county_3,PA,41465,312 Kathryn Course,7,Sydneyburgh,county_6,TX,36852,independent,caucasian,660-741-4036,landline,true,false,false,false,false,false,false,2022-10-30 00:00:00,true,false,false,Tablet,2798,7334,office_8,5666,Mx.,false,false,true,other,org_2,LECmWEKvt,CA,2792,2022-03-29 00:00:00,2022-03-29 02:00:00
78a9fe3a-dc34-4ceb-a054-2e059ae615fc,Step 2,XNPQKiRtn,ItgaYbmud,1950-04-04,laura578gmail.com,false,Mr.,Justin,Audrey,Lewis,MD,197 Brewer Park Suite 329,4,East Christine,county_6,OR,81211,633 Jose Gateway Apt. 966,1,Myersfort,county_7,LA,28696,democrat,hispanic,8819800666,mobile,false,true,true,true,false,true,false,2022-11-06 00:00:00,false,false,true,API,7539,3623,office_5,405,Mr.,false,true,true,other,org_2,nupIdNjPs,VI,1672,2022-07-13 00:00:00,2022-07-13 02:00:00
ada65998-162b-4c71-8a76-ba4a8ed625f6,Step 2,BTictGQrE,dJwWvRgMx,1921-06-02,michael47yahoo.com,true,Mr.,Matthew,Mary,Smith,DVM,188 Patterson Garden,2,New Brady,county_6,TN,24278,03936 Regina Creek Apt. 338,3,North Heatherland,county_5,OR,85913,democrat,nativeAmerican,886.622.6275x09287,landline,false,false,false,true,false,false,true,2022-10-03 00:00:00,true,true,true,Web,3066,2473,office_7,9335,Miss,false,false,false,female,org_4,BrXowWOcz,PR,457,2022-04-20 00:00:00,2022-04-20 02:00:00
062c215e-d709-4000-ae67-72f44d6013aa,Complete,EKqRrpDTD,xHNDQpJIk,1969-07-29,stephanie56gmail.com,false,Mx.,David,Carly,Weber,II,679 Gentry Point,5,East Jesus,county_3,MT,59634,264 Hudson Lodge Suite 450,6,East Shawnville,county_1,MN,42773,independent,asian,001-625-189-7693x7190,landline,true,true,false,true,false,false,true,2021-11-09 00:00:00,true,false,false,API,81,7899,office_4,3652,Dr.,true,true,true,male,org_4,KMUFDWrfG,IL,9390,2022-03-28 00:00:00,2022-03-28 02:00:00
